OBJECTID,Sample_Date,Lat_deg_,Long_deg_,Pieces_KM2,Normalized
4091,1997-04-28,23.62,-80.38,0,0
4092,2000-05-25,23.62,-74.73,9719,0
4093,1990-04-16,23.63,-73.75,0,0
4094,1996-02-18,23.63,-74.93,2160,0
4095,2002-12-05,23.63,-109.38,9116,0
4096,2002-04-06,23.64,-73.6,5940,0
4097,1996-03-29,23.65,-76.92,1080,0
4098,1996-03-30,23.65,-75.72,25378,0
4099,1999-05-14,23.65,-64.86,14328,0
4100,1999-05-14,23.65,-64.86,52255,0
4101,2012-10-20,23.65,-149.74,296726,0
4102,1997-02-09,23.67,-80.52,2700,0
4103,1998-02-17,23.68,-75.22,491,0
4104,2005-10-27,23.68,-56.61,4108,0
4105,1996-05-05,23.72,-81.55,2700,0
4106,1996-05-05,23.72,-81.55,1080,0
4107,1990-04-27,23.73,-70.65,29158,0
4108,1990-04-27,23.73,-70.65,17279,0
4109,1999-02-20,23.74,-74.7,1620,0
4110,2001-04-18,23.75,-60.42,4860,0
4111,2004-04-02,23.75,-73.16,5400,0
4112,1993-05-12,23.78,-75.08,59589,0
4113,1993-05-12,23.78,-75.08,112311,0
4114,1999-04-07,23.78,-74.5,1080,0
4115,2001-03-17,23.78,-83.14,1620,0
4116,2001-10-27,23.78,-59.05,1800,0
4117,2001-10-27,23.78,-59.05,9449,0
4118,1999-04-06,23.79,-74.96,10259,0
4119,2007-02-20,23.79,-70.92,6075,0
4120,1995-02-16,23.8,-75.17,0,0
4121,1995-05-14,23.8,-75.15,1440,0
4122,1995-05-14,23.8,-75.15,0,0
4123,1998-10-29,23.8,-59.82,0,0
4124,2001-10-26,23.8,-108.52,1080,0
4125,1996-04-06,23.82,-74.73,24298,0
4126,1998-02-17,23.82,-75.17,0,0
4127,2003-05-10,23.82,-81.58,0,0
4128,2005-03-26,23.84,-81.55,7559,0
4129,2006-10-27,23.84,-59.53,5165,0
4130,1991-05-06,23.85,-70.35,0,0
4131,1996-03-26,23.85,-81.47,0,0
4132,1996-05-06,23.85,-80.8,5405,0
4133,1996-05-06,23.85,-80.8,0,0
4134,2000-02-16,23.85,-80.85,491,0
4135,2001-01-30,23.87,-82.9,0,0
4136,2005-04-20,23.87,-59.03,4320,0
4137,2007-04-18,23.87,-58.89,15026,0
4138,1996-02-15,23.88,-74.32,1080,0
4139,2001-01-30,23.88,-82.65,5400,0
4140,2001-03-19,23.88,-82.09,5940,0
4141,1999-02-21,23.89,-67.95,0,0
4142,2002-04-20,23.89,-174.74,545,0
4143,2002-05-02,23.89,-82.04,0,0
4144,2002-11-07,23.89,-109.37,545,0
4145,1993-01-04,23.9,-81.73,0,0
4146,1996-04-06,23.9,-74.48,0,0
4147,1997-05-05,23.91,-81.3,0,0
4148,2000-02-23,23.91,-70.19,491,0
4149,1992-04-25,23.92,-75.32,2700,0
4150,1992-04-25,23.92,-75.32,0,0
4151,1993-02-15,23.92,-74.23,0,0
4152,1993-02-15,23.92,-74.23,540,0
4153,1995-02-15,23.93,-75.5,2160,0
4154,1996-03-26,23.93,-83.57,1473,0
4155,1996-03-26,23.93,-83.57,0,0
4156,1998-04-03,23.93,-74.78,0,0
4157,2003-01-29,23.94,-81.9,2160,0
4158,1999-11-02,23.95,-57.68,0,0
4159,2000-03-18,23.95,-82.22,0,0
4160,2002-05-02,23.96,-82.13,0,0
4161,2006-04-27,23.96,-81.98,0,0
4162,1993-01-17,23.97,-82.68,540,0
4163,1996-04-25,23.97,-81.97,2160,0
4164,1990-04-10,23.98,-73.02,2160,0
4165,1990-04-10,23.98,-73.02,1620,0
4166,1993-01-27,23.98,-81.59,1620,0
4167,1993-01-27,23.98,-81.59,540,0
4168,1996-03-27,23.98,-81.55,1080,0
4169,1996-03-31,23.98,-81.55,43197,0
4170,1996-03-31,23.98,-81.55,0,0
4171,1997-01-07,23.98,-82.07,1080,0
4172,2000-03-18,23.98,-81.97,1661,0
4173,2003-05-10,23.98,-80.95,2842,0
4174,2005-03-26,23.98,-81.64,0,0
4175,2000-03-18,23.99,-81.91,540,0
4176,1993-05-13,24,-74.68,0,0
4177,1993-05-13,24,-74.68,2315,0
4178,1996-04-08,24,-74.77,7515,0
4179,2004-04-28,24,-82.03,2700,0
4180,2002-04-05,24.01,-73.71,900,0
4181,2003-01-29,24.01,-81.6,450,0
4182,2008-04-30,24.01,-82.07,0,0
4183,2008-04-30,24.01,-82.07,1080,0
4184,2008-12-19,24.01,-82.2,1783,0
4185,1996-02-14,24.02,-75.5,56156,0
4186,1997-05-07,24.02,-80.88,450,0
4187,2002-03-17,24.02,-83.89,0,0
4188,2005-03-16,24.02,-82.06,10799,0
4189,2007-12-28,24.02,-82.84,0,0
4190,2008-04-30,24.02,-81.91,0,0
4191,1990-04-17,24.03,-74.04,0,0
4192,1996-04-08,24.03,-74.77,4860,0
4193,2001-01-16,24.03,-82.82,0,0
4194,2001-02-19,24.03,-70.74,0,0
4195,2003-10-30,24.03,-57.76,3240,0
4196,2012-06-26,24.03,-138.44,21643,0
4197,2012-10-23,24.03,-138.44,141180,0
4198,1998-10-28,24.04,-59.76,4860,0
4199,2008-04-30,24.04,-81.92,0,0
4200,1992-10-28,24.05,-58.13,12419,0
4201,1992-10-28,24.05,-58.13,3240,0
4202,1993-02-16,24.05,-74.05,1080,0
